{20}_Speech Emotion Classification Using Attention-Based LSTM,"—— 提出了一种基于注意力的长短期记忆(LSTM)递归神经网络的帧级语音特征的语音识别方法
	—— 修改传统 LSTM 的遗忘门来降低计算复杂度
	—— 使用注意力机制, 分别提取时间和特征方面的关联特征信息，在特征层面上，区分时间维度中的情感差异以及特征维度中的情感表征能力
","Automatic speech emotion recognition **has been a research hotspot in the field** of human–computer interaction **over the past decade.** However, due to the lack of research on the inherent temporal relationship of the speech waveform, the current recognition accuracy needs improvement. To make full use of the difference of emotional saturation between time frames, a novel method is proposed for speech recognition using frame-level speech features combined with attention-based long short-term memory (LSTM) recurrent neural networks. Frame-level speech features were extracted from waveform to replace traditional statistical features, which could preserve the timing relations in the original speech through the sequence of frames. To distinguish emotional saturation in different frames, two improvement strategies are proposed for LSTM based on the attention mechanism: first, the algorithm reduces the computational complexity by modifying the forgetting gate of traditional LSTM without sacrificing performance and second, in the final output of the LSTM, an attention mechanism is applied to both the time and the feature dimension to obtain the information related to the task, rather than using the output from the last iteration of the traditional algorithm. Extensive experiments on the CASIA, eNTERFACE, and GEMEP emotion corpora demonstrate that the performance of the proposed approach is able to outperform the state-of-the-art algorithms reported to date.
语音情感自动识别是近十年来人机交互领域的研究热点。然而，由于缺乏对语音波形内在时间关系(the inherent temporal relationship)的研究，目前的识别准确率还有待提高。为了充分利用时间帧之间情感饱和度的差异，提出了一种结合基于注意力的长短期记忆(LSTM)递归神经网络的帧级语音特征的语音识别方法。从波形中提取帧级语音特征来代替传统的统计特征，通过帧序列来保留原始语音中的时间关系。为了区分不同帧中的情感饱和，提出了两种基于注意力机制的LSTM改进策略：第一，在不牺牲性能的情况下，通过修改传统LSTM的遗忘门来降低计算复杂度；第二，在LSTM的最终输出中，将注意力机制应用到时间和特征维度上，以获取与任务相关的信息，而不是使用传统算法最后一次迭代的输出。在CASIA、eNTERFACE和 GEMEP 情感语料库上的大量实验表明，所提出的方法的性能能够超过迄今报道的最先进的算法。
"
{17}_CopyPaste An Augmentation Method for Speech Emotion Recognition,"—— 与只用干净的数据训练的模型相比，用噪声增强的数据训练的模型表现得更好，但在噪声环境下噪声增强的性能更好
—— 预训练可以显著提高所有数据集上的模型性能
—— 引入声纹识别领域的x-vector模型进行迁移学习。
","Data augmentation is a widely used strategy for training robust machine learning models. It partially alleviates the problem of limited data for tasks like speech emotion recognition (SER), where collecting data is expensive and challenging. This study proposes CopyPaste, a perceptually motivated novel augmentation procedure for SER. Assuming that the presence of emotions other than neutral dictates a speaker’s overall perceived emotion in a recording, concatenation of an emotional (emotion E) and a neutral utterance can still be labeled with emotion E. We hypothesize that SER performance can be improved using these concatenated utterances in model training. To verify this, three CopyPaste schemes are tested on two deep learning models: one trained independently and another using transfer learning from an x-vector model, a speaker recognition model. We observed that all three CopyPaste schemes improve SER performance on all the three datasets considered: MSP-Podcast, Crema-D, and IEMOCAP. Additionally, CopyPaste performs better than noise augmentation and, using them together improves the SER performance further. Our experiments on noisy test sets suggested that CopyPaste is effective even in noisy test conditions.
Data augmentation是训练稳健的机器学习模型的一种广泛使用的策略。它部分缓解了语音情感识别(SER)等任务数据有限的问题，在这些任务中，收集数据既昂贵又具有挑战性。本文提出的CopyPaste，假设非中性情绪的存在决定了说话人在录音中的总体感知情绪，因此含某情绪的语音和其他中性话语的串联，仍是此情情绪。通过在两个深度学习模型上测试了三种CopyPaste方案：一个是独立训练的，另一个是从x向量模型(说话人识别模型)进行迁移学习的。在MSP-Podcast、CREMA-D和IEMOCAP这三个数据集上，所有三种CopyPaste方案都提高了SER性能。此外，CopyPaste的性能比噪声增强更好，而且即使在噪声测试条件下，CopyPaste也是有效的。
"
{23}_Co-teaching Robust Training of Deep Neural Networks with Extremely Noisy Labels,"—— [开源代码](https://paperswithcode.com/paper/co-teaching-robust-training-of-deep-neural)
—— 提出了一种Co-teaching方法, 多模型联合学习
","Deep learning with noisy labels is practically challenging, as the capacity of deep models is so high that they can totally memorize these noisy labels sooner or later during training. Nonetheless, recent studies on the memorization effects of deep neural networks show that they would first memorize training data of clean labels and then those of noisy labels. Therefore in this paper, we propose a new deep learning paradigm called “Co-teaching” for combating with noisy labels. Namely, we train two deep neural networks simultaneously, and let them teach each other given every mini-batch: firstly, each network feeds forward all data and selects some data of possibly clean labels; secondly, two networks communicate with each other what data in this mini-batch should be used for training; finally, each network back propagates the data selected by its peer network and updates itself. Empirical results on noisy versions of MNIST, CIFAR-10 and CIFAR-100 demonstrate that Co-teaching is much superior to the state-of-the-art methods in the robustness of trained deep models.
带噪声标签的深度学习实际上是具有挑战性的，因为深度模型的容量如此之高，以至于他们迟早可以在训练过程中完全记住这些噪声标签。尽管如此，最近关于深度神经网络记忆效果的研究表明，它们会首先记忆干净标签的训练数据，然后记忆噪声标签的训练数据。因此，在本文中，我们提出了一种新的深度学习范式，称为“Co-teaching”，用于对抗噪声标签。也就是说，我们**同时训练两个深层神经网络，让它们在每个小批次中相互传授：首先，每个网络前馈所有数据，并选择一些可能干净的标签数据；然后，两个网络相互沟通，这个小批次中的哪些数据应该用于训练；最后，每个网络反向传播其对等网络选择的数据并进行自我更新**。在MNIST、CIFAR-10和CIFAR-100的噪声版本上的实验结果表明，Co-teaching在训练的深度模型的稳健性方面远远优于最新的方法。
"
{28}_LIGHT-SERNET A Lightweight Fully Convolutional Neural Network for Speech Emotion Recognition,"—— [开源代码](https://github.com/AryaAftab/LIGHT-SERNET)
—— 对多维数据，分路径使用特定于某维度的接受野进行卷积计算。可以减少卷积参数量， 例如分别提取时间 维度的依赖关系，频域维度的依赖关系。
—— F-LOSS有时候会比CE-Loss有更高的精度，
","Detecting emotions directly from a speech signal plays an important role in effective human-computer interactions. Existing speech emotion recognition models require massive computational and storage resources, making them hard to implement concurrently with other machine-interactive tasks in embedded systems. In this paper, we propose an efficient and lightweight fully convolutional neural network for speech emotion recognition in systems with limited hardware resources. In the proposed FCNN model, various feature maps are extracted via three parallel paths with different filter sizes. This helps deep convolution blocks to extract high-level features, while ensuring sufficient separability. The extracted features are used to classify the emotion of the input speech segment. While our model has a smaller size than that of the state-of-the-art models, it achieves a higher performance on the IEMOCAP and EMO-DB datasets.
直接从语音信号中检测情感在有效的人机交互中起着重要的作用。现有的语音情感识别模型需要大量的计算和存储资源，使得它们很难与嵌入式系统中的其他机器交互任务并行执行。本文针对硬件资源有限的语音情感识别问题，提出了一种高效、轻量级的全卷积神经网络。在所提出的FCNN模型中，通过三条具有不同滤波器大小的并行路径来提取各种特征映射。这有助于深度卷积块提取高级特征，同时确保足够的可分性。提取的特征被用于对输入语音片段的情感进行分类。虽然我们的模型比最先进的模型具有更小的尺寸，但它在IEMOCAP和EMO-DB数据集上实现了更高的性能。
"
{37}_Multitask Learning and Multistage Fusion for Dimensional Audiovisual Emotion Recognition,"—— [开源代码](https://github.com/bagustris/multistage-ser)
—— 本文目标是增强CCC，因此使用CCC损耗代替MSE损失函数
—— 比较了多任务学习（计算多个维度损失值的总损失）、单任务学习（计算单一维度损失值的损失）在单模态、多模态模型中的效果，得出了多任务学习更好些。
—— 比较了早期融合方法和晚期融合方法。
—— 在多任务学习中，提出了一种多阶段融合的方法，提升了最终效果。
","Due to its ability to accurately predict emotional state using multimodal features, audiovisual emotion recognition has recently gained more interest from researchers. This paper proposes two methods to predict emotional attributes from audio and visual data using a multitask learning and a fusion strategy. First, multitask learning is employed by adjusting three parameters for each attribute to improve the recognition rate. Second, a multistage fusion is proposed to combine results from various modalities’ final prediction. Our approach used multitask learning, employed at unimodal and early fusion methods, shows improvement over single-task learning with an average CCC score of 0.431 compared to 0.297. A multistage method, employed at the late fusion approach, significantly improved the agreement score between true and predicted values on the development set of data (from [0.537, 0.565, 0.083] to [0.68, 0.656, 0.443]) for arousal, valence, and liking.
视听情绪识别由于能够利用多模态特征准确预测情绪状态，近年来受到研究者的广泛关注。本文提出了两种基于多任务学习和融合策略的基于视听数据的情感属性预测方法。首先，通过调整每个属性的三个参数来进行多任务学习，以提高识别率。其次，提出了一种多阶段融合的方法，将不同模态的最终预测结果进行融合。我们的方法使用了多任务学习，在单峰unimodal（单模态）和早期融合方法中使用，显示出比单任务学习更好的结果，平均Ccc得分为0.431分，而单任务学习方法为0.297分。在晚期融合方法中采用的多阶段方法显著提高了发展数据集上的真实值和预测值之间的一致性分数(从[0.537，0.565，0.083]提高到[0.68，0.656，0.443])，包括性唤醒、效价和喜好。
"
{16}_Efficient Speech Emotion Recognition Using Multi-Scale CNN and Attention,"—— [开源代码](https://github.com/julianyulu/icassp2021-mscnn-spu)
—— 引入多尺度卷积(MSCNN)，用不同大小的卷积核对某特征图进行卷积操作，得到新的大小不同的特征图，之后经过处理得到下一层的输入特征图。
—— 提出了一个统计合并单元(SPU)，它由沿序列方向的三个平行的一维pooling组成：a)全局最大合并；b)全局平均合并；c)全局标准差合并。
—— 使用Google的Speech-to-Text API获取文本识别结果输入进模型中，与输入语音实际文本的结果做对比。
思考：
—— 不同卷积方式
	—— 1×1 卷积（Bottleneck结构）
	—— 3D卷积
	—— 扩张卷积
	—— 转置卷积（反卷积）
	—— 分组卷积（混洗分组卷积，逐点分组卷积）
	—— 可分离卷积（空间可分卷积，深度可分卷积）
	—— 平展卷积
	—— 微步卷积
	—— 空洞卷积（膨胀卷积）
	—— 可变形卷积
	—— 图卷积
[A Comprehensive Introduction to Different Types of Convolutions in Deep Learning | by Kunlun Bai | Towards Data Science](https://towardsdatascience.com/a-comprehensive-introduction-to-different-types-of-convolutions-in-deep-learning-669281e58215)
[CNN中千奇百怪的卷积方式大汇总 —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/29367273)
[变形卷积核、可分离卷积？卷积神经网络中十大拍案叫绝的操作。 —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/28749411)
[一文看尽深度学习中的20种卷积（附源码整理和论文解读） —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/381839221)
","Emotion recognition from speech is a challenging task. Recent advances in deep learning have led bi-directional recurrent neural network (Bi-RNN) and attention mechanism as a standard method for speech emotion recognition, extracting and attending multi-modal features - audio and text, and then fusing them for downstream emotion classification tasks. In this paper, we propose a simple yet efficient neural network architecture to exploit both acoustic and lexical information from speech. The proposed framework using multi-scale convolutional layers (MSCNN) to obtain both audio and text hidden representations. Then, a statistical pooling unit (SPU) is used to further extract the features in each modality. Besides, an attention module can be built on top of the MSCNNSPU (audio) and MSCNN (text) to further improve the performance. Extensive experiments show that the proposed model outperforms previous state-of-the-art methods on IEMOCAP dataset with four emotion categories (i.e., angry, happy, sad and neutral) in both weighted accuracy (WA) and unweighted accuracy (UA), with an improvement of 5.0% and 5.2% respectively under the ASR setting.
语音情感识别是一项具有挑战性的任务。深度学习的最新进展使双向递归神经网络(bi-RNN)和注意机制成为语音情感识别的标准方法，提取并处理音频和文本的多模式特征，然后将它们融合用于下游情感分类任务。在本文中，我们提出了一种简单而高效的神经网络结构，以利用语音中的声学信息和词汇信息。该框架使用多尺度卷积层(MSCNN)来同时获得音频和文本的隐藏表示。然后，使用统计汇集单元(SPU)进一步提取每个通道的特征。此外，还可以在MSCNNSPU(音频)和MSCNN(文本)的基础上构建注意力模块，以进一步提高性能。大量实验表明，该模型在IEMOCAP数据集上的加权准确率(WA)和未加权准确率(UA)上均优于已有的方法，在ASR环境下分别提高了5.0%和5.2%。
"
{27}_Is Cross-Attention Preferable to Self-Attention for Multi-Modal Emotion Recognition,"—— [开源代码](https://github.com/smartcameras/SelfCrossAttn)
—— 讨论了注意力机制对不同模态间特征融合的影响
—— 通过将两个不同模态的输入分别分配给注意力机制的Q和KV，实现多模态运算之间的数据交互。
—— 结论：多模态特征融合过程中，使用自注意力机制和使用跨模态交互注意力机制都有用，但是效果类似。
","Humans express their emotions via facial expressions, voice intonation and word choices. To infer the nature of the underlying emotion, recognition models may use a single modality, such as vision, audio, and text, or a combination of modalities. Generally, models that fuse complementary information from multiple modalities outperform their uni-modal counterparts. However, a successful model that fuses modalities requires components that can effectively aggregate task-relevant information from each modality. As crossmodal attention is seen as an effective mechanism for multi-modal fusion, in this paper we quantify the gain that such a mechanism brings compared to the corresponding self-attention mechanism. To this end, we implement and compare a cross-attention and a selfattention model. In addition to attention, each model uses convolutional layers for local feature extraction and recurrent layers for global sequential modelling. We compare the models using different modality combinations for a 7-class emotion classification task using the IEMOCAP dataset. Experimental results indicate that albeit both models improve upon the state-of-the-art in terms of weighted and unweighted accuracy for tri- and bi-modal configurations, their performance is generally statistically comparable.
人类通过面部表情、语调和用词来表达自己的情感。为了推断潜在情绪的性质，识别模型可以使用单个通道，例如视觉、音频和文本，或通道的组合。一般来说，融合来自多个通道的互补信息的模型表现优于单通道对应的模型。然而，融合通道的成功模型需要能够有效地聚合来自每个通道的与任务相关的信息的组件。由于跨通道注意被认为是一种有效的多通道融合机制，本文量化了这种机制与相应的自我注意机制相比所带来的收益。为此，我们实施并比较了交叉注意模型和自我注意模型。除了注意力外，每个模型都使用卷积层来进行局部特征提取，并使用递归层来进行全局顺序建模。我们使用IEMOCAP数据集对7类情绪分类任务中使用不同通道组合的模型进行了比较。实验结果表明，尽管这两个模型在加权和未加权精度方面都优于最先进的三模和双模配置，但它们的性能通常在统计上是可比较的。
"
{19}_Speech Emotion Recognition Considering Nonverbal Vocalization in Affective Conversations,"—— 开源代码
","In real-life communication, nonverbal vocalization such as laughter, cries or other emotion interjections, within an utterance play an important role for emotion expression. In previous studies, only few emotion recognition systems consider nonverbal vocalization, which naturally exists in our daily conversation. In this work, both verbal and nonverbal sounds within an utterance are considered for emotion recognition of real-life affective conversations. Firstly, a support vector machine (SVM)-based verbal and nonverbal sound detector is developed. A prosodic phrase autotagger is further employed to extract the verbal/nonverbal sound segments. For each segment, the emotion and sound feature embeddings are respectively extracted using the deep residual networks (ResNets). Finally, a sequence of the extracted feature embeddings for the entire dialog turn are fed to an attentive long short-term memory (LSTM)-based sequence-to-sequence model to output an emotional sequence as recognition result. The NNIME corpus (The NTHU-NTUA Chinese interactive multimodal emotion corpus), which consists of verbal and nonverbal sounds, was adopted for system training and testing. 4766 single speaker dialogue turns in the audio data of the NNIME corpus were selected for evaluation. The experimental results showed that nonverbal vocalization was helpful for speech emotion recognition. For comparison, the proposed method based on decision-level fusion achieved an accuracy of 61.92% for speech emotion recognition outperforming the traditional methods as well as the feature-level and model-level fusion approaches.
在实际沟通过程中，语音交谈中的非语言发声，如笑声、哭声或其他情感感叹词，在情感表达中起着重要的作用。在以往的研究中，很少有情感识别系统考虑自然存在于我们日常对话中的非语言发声，因此在本文工作中，语音中的语言和非语言声音部分都被用作对现实生活中情感对话的情感识别。本文首先设计了一种基于支持向量机的**语言语音和非语言语音检测器**，然后进一步使用韵律短语自动标记器（prosodic phrase autotagger）来提取语言语音和非语言语音片段。对于每个片段，分别使用深度残差网络(ResNets)提取情感和语音嵌入特征。最后，将从整个对话提取的嵌入特征序列馈送到基于注意力的长短期记忆(LSTM)的序列到序列模型，以输出情感序列作为识别结果。采用NNIME语料库(NTHU-NTUA汉语交互式多通道情感语料库)进行系统训练和测试。在NNIME语料库的音频数据中选取4766个单人对话进行评估。实验结果表明，非语言声音有助于语音情感识别。相比之下，基于决策层融合的语音情感识别方法的准确率达到61.92%，优于传统方法以及特征层和模型层的融合方法。
"
{15}_Speech Emotion Recognition with Multiscale Area Attention and Data Augmentation,"—— [开源代码](https://github.com/lessonxmk/Optimized_attention_for_SER)
—— 第一次引入多尺度区域注意力机制，从不同尺度处理需要attention数据
—— 引入nlpaug library中的Vocal Tract Length Perturbation (VTLP)，利用VTLP，在语音特征层面上施加一个随机的扭曲因子，对原始数据进行处理，生成新的数据。
—— 使用长方形卷积核，从时间和频域维度提取特征
思考：
—— 不同注意力机制
	—— 通道注意力
	—— 空间注意力
	—— 残差注意力
	—— 混合注意力
	—— 双重注意力
	—— 自注意力
	—— 类别注意力
	—— 时间注意力
	—— 频率注意力
	—— 全局注意力
	—— 高阶注意力
[注意力机制研究现状综述（Attention mechanism） —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/361893386)
[一文看尽深度学习中的各种注意力机制 —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/379501097)
[14 —— 第五节 Transformer （2022：各式各样的自注意力机制变型） —— 知乎 (zhihu.com)](https://zhuanlan.zhihu.com/p/488632024)
","In Speech Emotion Recognition (SER), emotional characteristics often appear in diverse forms of energy patterns in spectrograms. Typical attention neural network classifiers of SER are usually optimized on a fixed attention granularity. In this paper, we apply multiscale area attention in a deep convolutional neural network to attend emotional characteristics with varied granularities and therefore the classifier can benefit from an ensemble of attentions with different scales. To deal with data sparsity, we conduct data augmentation with vocal tract length perturbation (VTLP) to improve the generalization capability of the classifier. Experiments are carried out on the Interactive Emotional Dyadic Motion Capture (IEMOCAP) dataset. We achieved 79.34% weighted accuracy (WA) and 77.54% unweighted accuracy (UA), which, to the best of our knowledge, is the state of the art on this dataset.
在语音情感识别(SER)中，情感特征往往以不同形式的能量模式出现在谱图中。SER中经典的基于注意力的神经网络分类器通常是在固定的注意力粒度（attention granularity）上进行优化的。本文将多尺度区域注意力机制（multiscale area attention）应用于深度卷积神经网络中，以适应不同粒度的情感特征，从而使分类器能够从不同尺度的注意集合中获益。针对数据稀疏性问题，采用声道长度扰动(VTLP)进行数据增强，提高了分类器的泛化能力。在(IEMOCAP)数据集上进行实验获得了79.34%的加权准确率(WA)和77.54%的未加权准确率(UA)。
"
{36}_Attentive Modality Hopping Mechanism for Speech Emotion Recognition,"—— [开源代码](https://github.com/david-yoon/attentive-modality-hopping-for-SER)
—— 引入音频、文本、视频三模态改进情感识别任务
—— 引入注意力机制来融合多模态特征信息
—— 提出了一种attentive modality hopping process（注意模态跳跃过程），以其他模态为条件，利用注意力机制和前面计算后的特征向量（或经注意后的特征向量）在当前模态中聚合重要的特征信息。
","In this work, we explore the impact of visual modality in addition to speech and text for improving the accuracy of the emotion detection system. The traditional approaches tackle this task by independently fusing the knowledge from the various modalities for performing emotion classification. In contrast to these approaches, we tackle the problem by introducing an attention mechanism to combine the information. In this regard, we first apply a neural network to obtain hidden representations of the modalities. Then, the attention mechanism is defined to select and aggregate important parts of the video data by conditioning on the audio and text data. Furthermore, the attention mechanism is again applied to attend the essential parts of speech and textual data by considering other modalities. Experiments are performed on the standard IEMOCAP dataset using all three modalities (audio, text, and video). The achieved results show a significant improvement of 3.65% in terms of weighted accuracy compared to the baseline system.
在这项工作中，我们探索除了语音和文本之外，还有视觉模态对情绪检测系统的影响，以提高情绪检测系统的准确性。传统的方法通过独立地融合来自各种模态的知识来处理这一任务，以执行情感分类。与这些方法不同，我们通过引入注意力机制来结合信息来解决这个问题。在这一点上，我们首先应用神经网络来获得模态的隐藏表征。然后，定义了注意机制，通过对音频和文本数据的条件化处理来选择和聚合视频数据的重要部分。此外，注意机制再次被应用于通过考虑其他模态来注意基本的词性和文本数据。在标准IEMOCAP数据集上使用所有三种模态(音频、文本和视频)进行了实验。结果表明，与基线系统相比，加权精度有3.65%的显着提高。
"
